,category,token
9200,nc,contramarca
9201,v,contramarcar
9202,nc,contramarcha
9203,v,contramarchar
9204,nc,contramaré
9205,nc,contramestre
9206,v,contramurar
9207,nc,contramuro
9208,adj,contranatural
9209,nc,contranaturalidade
9210,nc,contra
9211,nc,contraofensiva
9212,nc,contraordem
9213,v,contraordenar
9214,nc,contraparte
9215,nc,contrapartida
9216,nc,contrapasso
9217,v,contrapesar
9218,nc,contrapeso
9219,nc,contraplacado
9220,v,contraplacar
9221,nc,contrapoder
9222,v,contrapontear
9223,nc,contrapontista
9224,a,contrapontística
9225,nc,contraponto
9226,v,contrapor
9227,nc,contraposição
9228,nc,contraposta
9229,adj,contraposto
9230,nc,contrapressão
9231,adj,contraproducente
9232,v,contraproduzir
9233,nc,contraprojeto
9234,nc,contrapropaganda
9235,v,contrapropor
9236,nc,contraproposta
9237,nc,contraprova
9238,v,contraprovar
9239,nc,contrapunho
9240,nc,contraquartel
9241,nc,contraquilha
9242,nc,contrarregra
9243,nc,contrarrelógio
9244,nc,contrarrevolta
9245,nc,contrarrevolução
9246,a,contrarrevolucionário
9247,adj,contrariante
9248,v,contrariar
9249,nc,contrariedade
9250,a,contrário
9251,nc,contrassenha
9252,nc,contrassenso
9253,v,contrastar
9254,v,contrastear
9255,nc,contraste
9256,adj,contrastivo
9257,nc,contratadeira
9258,a,contratador
9259,adj,contratante
9260,v,contratar
9261,nc,contratempo
9262,v,contratestemunhar
9263,nc,contrato
9264,nc,contratorpedeiro
9265,adj,contratual
9266,v,contratualizar
9267,nc,contravapor
9268,nc,contravenção
9269,nc,contraveneno
9270,nc,contravento
9271,a,contraventor
9272,nc,contraverdade
9273,nc,contraversão
9274,v,contraverter
9275,v,contravir
9276,nc,contravolta
9277,nc,contribuição
9278,a,contribuinte
9279,v,contribuir
9280,adj,contributário
9281,adj,contributivo
9282,nc,contributo
9283,nc,contrição
9284,v,contristar
9285,adj,contrito
9286,v,controlar
9287,nc,controlo
9288,nc,controvérsia
9289,adj,controverso
9290,v,controverter
9291,con,contudo
9292,nc,contumácia
9293,adj,contumaz
9294,nc,contumélia
9295,nc,contundência
9296,adj,contundente
9297,v,contundir
9298,v,conturbar
9299,adj,conturbativo
9300,nc,contusão
9301,adj,contuso
9302,nc,convalescença
9303,a,convalescente
9304,v,convalescer
9305,nc,convecção
9306,nc,convetor
9307,nc,convenção
9308,adj,convencedor
9309,v,convencer
9310,adj,convencido
9311,adj,convencional
9312,nc,convencionalismo
9313,v,convencionar
9314,nc,conveniência
9315,adj,conveniente
9316,nc,convénio
9317,adj,conventicular
9318,nc,conventículo
9319,nc,convento
9320,nc,conventual
9321,nc,convergência
9322,adj,convergente
9323,v,convergir
9324,a,conversadeira
9325,a,conversado
9326,a,conversador
9327,nc,conversa
9328,nc,conversão
9329,v,conversar
9330,nc,conversibilidade
9331,adj,conversível
9332,adj,conversivo
9333,a,converso
9334,a,conversor
9335,a,convertedor
9336,v,converter
9337,a,convertido
9338,adj,convertível
9339,nc,convés
9340,nc,convexão
9341,nc,convexidade
9342,adj,convexo
9343,adj,convexo-côncavo
9344,nc,convicção
9345,adj,convicto
9346,a,convidado
9347,adj,convidante
9348,v,convidar
9349,adj,convidativo
9350,adj,convincente
9351,v,convir
9352,nc,convite
9353,adj,convival
9354,nc,conviva
9355,nc,convivência
9356,a,convivente
9357,v,conviver
9358,nc,convívio
9359,a,convocador
9360,v,convocar
9361,nc,convocatória
9362,adj,convocatório
9363,nc,convolução
9364,v,convolver
9365,cp,convosco
9366,nc,convulsão
9367,v,convulsar
9368,nc,convulsibilidade
9369,adj,convulsionante
9370,a,convulsionário
9371,v,convulsionar
9372,adj,convulsível
9373,adj,convulsivo
9374,adj,convulso
9375,v,coobrigar
9376,nc,coocupante
9377,nc,coocorrência
9378,a,cooperador
9379,v,cooperar
9380,nc,cooperativa
9381,nc,cooperativismo
9382,a,cooperativista
9383,adj,cooperativo
9384,nc,coopositor
9385,v,cooptar
9386,nc,coordenação
9387,nc,coordenada
9388,adj,coordenado
9389,a,coordenador
9390,v,coordenar
9391,adj,coordenativo
9392,a,coorientador
9393,nc,copada
9394,adj,copado
9395,nc,copa
9396,nc,coparceiro
9397,nc,coparticipante
9398,v,coparticipar
9399,nc,copas
9400,nc,copázio
9401,nc,copeira
9402,nc,copeiro
9403,a,copépode
9404,nc,copiador
9405,nc,cópia
9406,v,copiar
9407,nc,copiloto
9408,nc,copiosidade
9409,adj,copioso
9410,nc,copista
9411,nc,copito
9412,nc,copo
9413,nc,copra
9414,nc,coprodução
9415,nc,coprofagia
9416,adj,coprófago
9417,a,coprofilia
9418,nc,copropriedade
9419,nc,coproprietário
9420,a,copta
9421,nc,cópula
9422,v,copular
9423,adj,copulativo
9424,nc,coqueiral
9425,nc,coqueiro
9426,nc,coqueluche
9427,nc,coquetel
9428,nc,coração
9429,a,coracoide
9430,nc,coradoiro
9431,nc,coradouro
9432,in,coragem
9433,nc,coragem
9434,adj,corajoso
9435,nc,coraleira
9436,adj,coraleiro
9437,a,coral
9438,nc,coraliários
9439,adj,coralífero
9440,adj,coraliforme
9441,adj,coralino
9442,adj,coraloide
9443,a,corante
9444,v,corar
9445,nc,corcel
9446,nc,corço
9447,nc,corcova
9448,v,corcovar
9449,v,corcovear
9450,a,corcunda
9451,adj,cordado
9452,nc,cordados
9453,nc,corda
9454,nc,cordão
9455,nc,cordame
9456,adj,cordato
9457,v,cordear
9458,nc,cordeiro
9459,nc,cordelinho
9460,nc,cordel
9461,adj,cordial
9462,adj,cordiforme
9463,nc,cordilheira
9464,nc,cordoaria
9465,v,cordoar
9466,nc,cordoeiro
9467,adj,coriáceo
9468,adj,coreano
9469,nc,corredator
9470,nc,corredentor
9471,nc,correferência
9472,nc,corregência
9473,nc,corregente
9474,v,coreografar
9475,nc,coreografia
9476,v,corresponsabilizar
9477,adj,corresponsável
9478,nc,coreto
9479,nc,corréu
9480,nc,corifeu
9481,adj,corimbiforme
9482,adj,coríntio
9483,nc,corisco
9484,nc,corista
9485,nc,corja
9486,nc,cornada
9487,adj,corneal
9488,nc,córnea
9489,v,cornear
9490,adj,córneo
9491,nc,cornetada
9492,nc,corneta
9493,nc,cornetão
9494,v,cornetear
9495,nc,corneteiro
9496,nc,cornetim
9497,nc,cor
9498,nc,cornicho
9499,adj,cornichoso
9500,adj,corniculado
9501,nc,cornículo
9502,adj,cornífero
9503,v,cornificar
9504,adj,corniforme
9505,nc,cornija
9506,nc,cor
9507,nc,corno
9508,nc,cornucópia
9509,nc,cornuda
9510,nc,coroa
9511,v,coroar
9512,adj,coroláceo
9513,adj,corolado
9514,nc,corola
9515,nc,corolário
9516,adj,corolífero
9517,adj,coroliforme
9518,adj,coronal
9519,adj,coronário
9520,nc,coronel
9521,nc,coronhada
9522,nc,coronha
9523,nc,coronheiro
9524,adj,coroniforme
9525,nc,coro
9526,nc,coroplastia
9527,nc,corpaço
9528,nc,corpanzil
9529,adj,corpanzudo
9530,nc,corpete
9531,nc,corpo
9532,nc,corporação
9533,adj,corporal
9534,nc,corporalidade
9535,v,corporalizar
9536,nc,corporal
9537,nc,corpora
9538,nc,corporativismo
9539,a,corporativista
9540,adj,corporativo
9541,nc,corporatura
9542,nc,corporeidade
9543,adj,corpóreo
9544,v,corporificar
9545,adj,corporiforme
9546,v,corporizar
9547,nc,corpulência
9548,adj,corpulento
9549,adj,corpuscular
9550,nc,corpúsculo
9551,nc,corpus
9552,nc,correção
9553,adj,correcional
9554,nc,corre-corre
9555,a,corretivo
9556,adj,correto
9557,a,corretor
9558,a,corretoria
9559,a,corretório
9560,nc,corretriz
9561,nc,corredela
9562,adj,corrediço
9563,adj,corredio
9564,a,corredor
9565,nc,corregedoria
9566,nc,corregedor
9567,v,correger
9568,nc,correia
9569,nc,correio
9570,nc,correlação
9571,adj,correlacionante
9572,v,correlacionar
9573,v,correlatar
9574,nc,correlatividade
9575,a,correlativo
9576,adj,correlato
9577,adj,correligionário
9578,adj,corrente
9579,nc,corrente
9580,nc,correnteza
9581,adj,correntio
9582,adj,correntoso
9583,nc,correria
9584,v,correr
9585,nc,correspondência
9586,adj,correspondente
9587,nc,correspondente
9588,v,corresponder
9589,nc,corretagem
9590,v,corretar
9591,nc,corretor
9592,v,corricar
9593,nc,corrida
9594,a,corridinho
9595,v,corrigir
9596,nc,corrimão
9597,nc,corriqueirice
9598,adj,corriqueiro
9599,adj,corroborante
9600,v,corroborar
9601,adj,corroborativo
9602,v,corroer
9603,v,corromper
9604,nc,corrosão
9605,nc,corrosibilidade
9606,adj,corrosível
9607,a,corrosivo
9608,nc,corrupção
9609,adj,corruptível
9610,adj,corruptivo
9611,adj,corrupto
9612,a,corruptor
9613,nc,corsário
9614,a,córsico
9615,nc,corso
9616,nc,cortadeira
9617,nc,cortadela
9618,a,cortador
9619,nc,cortadura
9620,nc,corta-fogo
9621,nc,corta-mar
9622,nc,corta-mato
9623,nc,corta
9624,adj,cortante
9625,nc,corta-papel
9626,v,cortar
9627,nc,corta-vento
9628,a,cortejador
9629,v,cortejar
9630,nc,cortejo
9631,nc,corte
9632,nc,corte
9633,nc,cortesania
9634,nc,cortesanice
9635,adj,cortês
9636,nc,cortesão
9637,nc,cortesia
9638,nc,córtex
9639,nc,cortiçada
9640,adj,cortiçado
9641,adj,cortical
9642,nc,cortiça
9643,nc,corticeira
9644,nc,corticeiro
9645,nc,córtice
9646,adj,corticiforme
9647,nc,corticite
9648,adj,cortícola
9649,nc,cortiço
9650,adj,cortiçoso
9651,nc,corticotrofina
9652,nc,cortinado
9653,nc,cortina
9654,v,cortinar
9655,nc,cortisona
9656,nc,coruja
9657,v,corujar
9658,nc,corujeira
9659,nc,corujeiro
9660,adj,corujento
9661,nc,corujo
9662,a,corvense
9663,nc,corveta
9664,nc,corvídeo
9665,nc,corvo-marinho
9666,nc,corvo
9667,v,coscuvilhar
9668,a,coscuvilheiro
9669,nc,coscuvilhice
9670,nc,cossecante
9671,nc,cosedor
9672,nc,cosedura
9673,nc,cosseno
9674,v,coser
9675,nc,cosidela
9676,nc,cossignatário
9677,nc,cosmética
9678,a,cosmético
9679,nc,cosmetologia
9680,adj,cósmico
9681,nc,cosmobiologia
9682,nc,cosmobiologismo
9683,nc,cosmogonia
9684,nc,cosmografia
9685,nc,cosmologia
9686,nc,cosmometria
9687,nc,cosmonauta
9688,nc,cosmonomia
9689,a,cosmopolita
9690,adj,cosmopolítico
9691,nc,cosmopolitismo
9692,v,cosmopolizar
9693,nc,cosmos
9694,a,cossaco
9695,nc,costabaixo
9696,nc,costada
9697,a,costado
9698,adj,costal
9699,nc,costa
9700,a,costa-riquenho
9701,v,costear
9702,adj,costeiro
9703,nc,costela
9704,nc,costeleta
9705,nc,costumança
9706,v,costumar
9707,nc,costumeira
9708,adj,costumeiro
9709,nc,costume
9710,nc,costura
9711,v,costurar
9712,a,costureiro
9713,nc,cota
9714,nc,cotangente
9715,nc,cotão
9716,v,cotar
9717,nc,cotejo
9718,nc,cote
9719,nc,cotilédone
9720,adj,cotiloide
9721,v,cotizar
9722,nc,cotonete
9723,nc,cotonicultura
9724,nc,coto
9725,nc,cotovelada
9726,nc,cotovelão
9727,v,cotovelar
9728,nc,cotovelo
9729,nc,cotovia
9730,nc,coulomb
9731,nc,couraça
9732,v,couraçar
9733,nc,couraceiro
9734,nc,coura
9735,nc,courão
9736,nc,courela
9737,nc,couro
9738,nc,cousada
9739,nc,cousa
9740,nc,cousica
9741,nc,cousíssima
9742,nc,coutada
9743,nc,coutaria
9744,v,coutar
9745,nc,couteiro
9746,nc,couto
9747,nc,couval
9748,nc,couve-flor
9749,nc,couveira
9750,a,couveiro
9751,nc,couve-nabiça
9752,nc,couve
9753,nc,covalência
9754,adj,covalente
9755,nc,coval
9756,nc,cova
9757,nc,covão
9758,adj,covarde
9759,nc,covardia
9760,nc,coveiro
9761,nc,covil
9762,nc,covinha
9763,nc,covoada
9764,a,covo
9765,adj,coxal
9766,nc,coxa
9767,nc,coxão
9768,nc,coxeadura
9769,adj,coxeante
9770,v,coxear
9771,nc,coxeira
9772,nc,coxia
9773,a,coxo
9774,nc,cozedeira
9775,nc,cozedura
9776,v,cozer
9777,nc,cozinhada
9778,nc,cozinhado
9779,nc,cozinha
9780,v,cozinhar
9781,a,cozinheiro
9782,nc,crachá
9783,a,cracoviano
9784,adj,craniano
9785,nc,craniologia
9786,nc,crânio
9787,nc,crápula
9788,v,crapulear
9789,adj,crapuloso
9790,nc,craque
9791,nc,crase
9792,adj,crasso
9793,nc,cratera
9794,adj,crateriforme
9795,nc,cravadeira
9796,nc,cravador
9797,nc,cravadura
9798,nc,cravagem
9799,v,cravar
9800,nc,craveira
9801,nc,craveiro
9802,v,cravejar
9803,nc,cravelha
9804,nc,cravina
9805,nc,cravo
9806,nc,creche
9807,adj,credencial
9808,nc,credenciário
9809,v,credenciar
9810,nc,credibilidade
9811,v,credibilizar
9812,v,creditar
9813,nc,crédito
9814,adj,credível
9815,nc,credo
9816,nc,credor
9817,adj,credulamente
9818,nc,credulidade
9819,a,crédulo
9820,nc,cremadeiro
9821,nc,cremadoiro
9822,nc,cremadouro
9823,nc,cremalheira
9824,v,cremar
9825,adj,crematório
9826,a,creme
9827,adj,cremoso
9828,nc,crença
9829,nc,crendeirice
9830,adj,crendeiro
9831,nc,crendice
9832,nc,crenoterapia
9833,a,crente
9834,nc,creolina
9835,nc,creosote
9836,nc,crepe
9837,adj,crepitante
9838,v,crepitar
9839,adj,crepitoso
9840,adj,crepuscular
9841,v,crepusculizar
9842,nc,crepúsculo
9843,v,crer
9844,nc,crescendo
9845,adj,crescente
9846,v,crescer
9847,adj,crescidote
9848,adj,crespo
9849,nc,crestadeira
9850,nc,crestadura
9851,adj,crestante
9852,v,crestar
9853,adj,cretáceo
9854,adj,cretácico
9855,a,cretão
9856,a,cretense
9857,nc,cretinismo
9858,v,cretinizar
9859,a,cretino
9860,adj,cretinoide
9861,adj,cretinoso
9862,nc,criação
9863,nc,criacionismo
9864,a,criacionista
9865,nc,criadagem
9866,a,criadeira
9867,nc,criado
9868,nc,criador
9869,a,criadouro
9870,nc,criançada
9871,nc,criança
9872,nc,criançola
9873,nc,cria
9874,v,criar
9875,nc,criatividade
9876,adj,criativo
9877,nc,criatura
9878,nc,criaturinha
9879,nc,cricri
9880,a,crime
9881,nc,criminação
9882,adj,criminal
9883,nc,criminalidade
9884,nc,criminalista
9885,v,criminalizar
9886,adj,criminável
9887,nc,criminologia
9888,a,criminoso
9889,nc,crina
9890,nc,criogenia
9891,adj,criogénico
9892,nc,crioilo
9893,a,crioulo
9894,nc,cripta
9895,adj,críptico
9896,nc,criptografia
9897,nc,criptograma
9898,nc,criptologia
9899,nc,criptoméria
9900,nc,crípton
9901,nc,críquete
9902,nc,crisálida
9903,nc,crisântemo
9904,nc,crise
9905,nc,crismal
9906,nc,crisma
9907,nc,crismando
9908,v,crismar
9909,adj,crisóstomo
9910,nc,crispadura
9911,adj,crispante
9912,v,crispar
9913,nc,cristalaria
9914,nc,cristaleira
9915,nc,cristaleria
9916,adj,cristalífero
9917,nc,cristalinidade
9918,adj,cristalino
9919,nc,cristalizador
9920,v,cristalizar
9921,nc,cristal
9922,nc,cristalogia
9923,nc,cristalografia
9924,a,cristaloide
9925,nc,cristandade
9926,nc,crista
9927,a,cristão
9928,nc,cristianicida
9929,nc,cristianismo
9930,adj,cristianíssimo
9931,v,cristianizar
9932,nc,cristologia
9933,nc,critério
9934,adj,criterioso
9935,nc,criticador
9936,nc,crítica
9937,nc,criticante
9938,v,criticar
9939,nc,criticismo
9940,a,criticista
9941,a,crítico
9942,nc,critiqueiro
9943,nc,critiquice
9944,v,crivar
9945,nc,criveiro
9946,nc,crivo
9947,adj,croácio
9948,a,croata
9949,nc,croché
9950,nc,crocodilo
9951,nc,cromagem
9952,v,cromar
9953,nc,cromática
9954,adj,cromático
9955,nc,cromatina
9956,nc,cromatismo
9957,v,cromatizar
9958,nc,cromatóforo
9959,nc,cromatografia
9960,nc,cromato
9961,nc,cromatoscopia
9962,nc,cromeleque
9963,adj,crómico
9964,nc,crómio
9965,adj,cromófilo
9966,adj,cromófobo
9967,adj,cromogéneo
9968,nc,cromo
9969,nc,cromoplasta
9970,nc,cromoplastídio
9971,nc,cromossoma
9972,adj,cromossómico
9973,nc,cromoterapia
9974,nc,crónica
9975,v,cronicar
9976,nc,cronicidade
9977,adj,crónico
9978,nc,croniqueiro
9979,v,croniquizar
9980,nc,cronista
9981,nc,cronografia
9982,nc,cronograma
9983,nc,cronologia
9984,adj,cronológico
9985,nc,cronometragem
9986,v,cronometrar
9987,nc,cronometria
9988,nc,cronometrista
9989,nc,cronómetro
9990,nc,croquete
9991,nc,crosta
9992,adj,crostoso
9993,adj,crua
9994,adj,cru
9995,adj,crucial
9996,a,crucífero
9997,a,crucificador
9998,v,crucificar
9999,v,crucifixar
10000,nc,crucifixo
10001,adj,cruciforme
10002,adj,crudelíssimo
10003,nc,crude
10004,adj,cruel
10005,nc,crueldade
10006,nc,crueza
10007,adj,crural
10008,adj,crustáceo
10009,nc,crustaceologia
10010,nc,crustáceos
10011,nc,crusta
10012,nc,cruzada
10013,a,cruzador
10014,adj,cruzante
10015,v,cruzar
10016,nc,cruzeiro
10017,adj,cruzetado
10018,nc,cruzeta
10019,nc,cruz
10020,nc,cuanza
10021,nc,cuba
10022,a,cubano
10023,v,cubar
10024,nc,cubata
10025,adj,cúbico
10026,nc,cubículo
10027,adj,cubiforme
10028,nc,cubismo
10029,nc,cubista
10030,adj,cubital
10031,nc,cúbito
10032,a,cuboide
10033,nc,cubo
10034,nc,cuco
10035,nc,cueca
10036,nc,cuecas
10037,nc,cueiro
10038,a,cuidadeira
10039,in,cuidado
10040,a,cuidado
10041,nc,cuidador
10042,adj,cuidadoso
10043,v,cuidar
10044,prel,cujo
10045,adj,culatral
10046,nc,culatra
10047,nc,culinária
10048,adj,culinário
10049,nc,culminância
10050,adj,culminante
10051,v,culminar
10052,nc,culpabilidade
10053,v,culpabilizar
10054,nc,culpa
10055,v,culpar
10056,adj,culposo
10057,nc,cultismo
10058,nc,cultivador
10059,v,cultivar
10060,nc,cultivo
10061,a,culto
10062,nc,cultor
10063,adj,cultural
10064,nc,cultura
10065,nc,culturismo
10066,a,culturista
10067,nc,cume
10068,a,cúmplice
10069,v,cumpliciar
10070,nc,cumplicidade
10071,adj,cumprimentador
10072,v,cumprimentar
10073,adj,cumprimenteiro
10074,nc,cumprimento
10075,v,cumprir
10076,v,cumular
10077,adj,cumulativo
10078,nc,cúmulo
10079,adj,cuneiforme
10080,nc,cunhada
10081,a,cunhado
10082,a,cunhador
10083,nc,cunhagem
10084,nc,cunha
10085,v,cunhar
10086,nc,cunho
10087,nc,cu
10088,nc,cupão
10089,nc,cupidez
10090,adj,cupidinoso
10091,adj,cúpido
10092,nc,cupido
10093,adj,cupulado
10094,nc,cúpula
10095,adj,cupuliforme
10096,nc,curabilidade
10097,nc,curadoria
10098,nc,curador
10099,nc,curandeira
10100,nc,curandeirismo
10101,a,curandeiro
10102,nc,curandice
10103,nc,cura
10104,nc,cura
10105,v,curar
10106,a,curativo
10107,nc,curato
10108,nc,curdo
10109,a,curial
10110,nc,curialidade
10111,nc,curialismo
10112,nc,cúria
10113,nc,curião
10114,nc,curie
10115,nc,curiosidade
10116,a,curioso
10117,nc,curralada
10118,a,curraleiro
10119,nc,curral
10120,adj,curricular
10121,nc,currículo
10122,nc,curro
10123,v,cursar
10124,nc,cursista
10125,a,cursivo
10126,nc,curso
10127,a,cursor
10128,nc,curta-metragem
10129,nc,curtas-metragens
10130,nc,curteza
10131,nc,curtidoiro
10132,nc,curtidouro
10133,nc,curtidura
10134,v,curtir
10135,adj,curto
10136,nc,curto-circuito
10137,nc,curto-prazo
10138,nc,curtume
10139,nc,curva
10140,v,curvar
10141,nc,curvatura
10142,v,curvejar
10143,nc,curveta
10144,adj,curvilíneo
10145,adj,curvo
10146,nc,cuspe
10147,a,cuspideira
10148,nc,cuspidela
10149,nc,cuspidouro
10150,nc,cuspidura
10151,v,cuspir
10152,nc,cuspo
10153,nc,custa
10154,v,custar
10155,v,custear
10156,nc,custeio
10157,nc,custódia
10158,v,custodiar
10159,a,custódio
10160,nc,custo
10161,adj,custoso
10162,adj,cutâneo
10163,nc,cutela
10164,nc,cutelão
10165,nc,cutelaria
10166,a,cuteleiro
10167,nc,cutelo
10168,nc,cutícula
10169,adj,cuticular
10170,nc,cutilada
10171,nc,cutilaria
10172,nc,cutileiro
10173,adj,dactílico
10174,v,dactilografar
10175,v,datilografar
10176,nc,dactilografia
10177,nc,datilografia
10178,nc,dáctilo
10179,nc,dada
10180,nc,dádiva
10181,nc,dado
10182,a,dador
10183,cp,daí
10184,nc,dáimio
10185,cp,dalém
10186,cp,dalgo
10187,cp,dalguém
10188,cp,dalgum
10189,cp,dalgures
10190,nc,dália
10191,cp,dali
10192,a,dálmata
10193,a,daltónico
10194,nc,daltonismo
10195,nc,dama
10196,a,damasceno
10197,nc,damasco
10198,nc,damas
10199,nc,damasqueiro
10200,v,danar
10201,nc,dançadeira
10202,a,dançador
10203,nc,dança
10204,adj,dançante
10205,v,dançaricar
10206,a,dançarino
10207,v,dançar
10208,v,danificar
10209,adj,daninho
10210,nc,dano
10211,adj,danoso
10212,adv,dantes
10213,adj,dantesco
10214,adj,dântico
10215,adj,danubiano
10216,cp,daquele
10217,cp,daquém
10218,cp,daqui
10219,cp,daquilo
10220,v,dardejar
10221,nc,dardo
10222,v,dar
10223,nc,datador
10224,adj,datal
10225,nc,data
10226,v,datar
10227,a,dativo
10228,nc,dealbar
10229,v,dealbar
10230,adj,deambulante
10231,v,deambular
10232,a,deambulatório
10233,nc,deambulismo
10234,nc,deão
10235,adv,debaixo
10236,adv,debalde
10237,nc,debandada
10238,v,debandar
10239,nc,debate
10240,v,debater
10241,v,debelar
10242,adj,debelatório
10243,v,debicar
10244,adj,débil
10245,nc,debilidade
10246,adj,debilitador
10247,adj,debilitante
10248,v,debilitar
10249,adj,debilmente
10250,a,debiqueiro
10251,nc,debique
10252,v,debitar
10253,nc,débito
10254,v,debochar
10255,nc,deboche
10256,v,debruar
10257,v,debruçar
10258,nc,debulhada
10259,nc,debulhadeira
10260,nc,debulhadora
10261,a,debulhador
10262,nc,debulha
10263,v,debulhar
10264,nc,debulho
10265,a,debutante
10266,v,debutar
10267,v,debuxar
10268,nc,debuxo
10269,nc,década
10270,nc,decadência
10271,adj,decadente
10272,nc,decadentismo
10273,a,decadentista
10274,adj,decagonal
10275,nc,decágono
10276,nc,decagrama
10277,nc,decaída
10278,adj,decaído
10279,v,decair
10280,v,decalcar
10281,nc,decalcomania
10282,nc,decalitro
10283,nc,decálogo
10284,nc,decalque
10285,nc,decâmetro
10286,nc,decanado
10287,adj,decangular
10288,nc,decania
10289,nc,decano
10290,v,decantar
10291,v,decapitar
10292,adj,decassilábico
10293,adj,decassílabo
10294,nc,decatlo
10295,prep,de
10296,nc,decência
10297,nc,decénio
10298,adj,decente
10299,v,decepar
10300,nc,deceção
10301,v,dececionar
10302,adj,decetivo
10303,adv,decerto
10304,nc,decibel
10305,adv,decididamente
10306,v,decidir
10307,adj,decidível
10308,nc,decídua
10309,a,decifrador
10310,v,decifrar
10311,nc,decigrado
10312,nc,decigrama
10313,nc,decilitragem
10314,v,decilitrar
10315,nc,decilitreiro
10316,nc,decilitro
10317,nc,decil
10318,adj,decimal
10319,nc,decimalidade
10320,nc,decimalização
10321,nc,décima
10322,adj,decimável
10323,nc,decímetro
10324,a,décimo
10325,nc,decisão
10326,adj,decisivo
10327,adj,decisório
10328,a,declamador
10329,adj,declamante
10330,v,declamar
10331,adj,declamativo
10332,adj,declamatório
10333,nc,declaração
10334,a,declarador
10335,a,declarante
10336,v,declarar
10337,adj,declarativo
10338,adj,declaratório
10339,adj,declinante
10340,v,declinar
10341,adj,declinativo
10342,adj,declinatório
10343,nc,declínio
10344,v,declivar
10345,nc,declive
10346,nc,declividade
10347,nc,declívio
10348,adj,declivoso
10349,a,decomponente
10350,nc,decomponibilidade
10351,adj,decomponível
10352,v,decompor
10353,nc,decomposição
10354,nc,decoração
10355,a,decorador
10356,v,decorar
10357,adj,decorativo
10358,nc,decoro
10359,adj,decoroso
10360,nc,decorrência
10361,adj,decorrente
10362,v,decorrer
10363,v,decotar
10364,nc,decote
10365,v,decrementar
10366,nc,decremento
10367,v,decrepitar
10368,adj,decrépito
10369,nc,decrepitude
10370,nc,decrescença
10371,adj,decrescente
10372,v,decrescer
10373,nc,decréscimo
10374,v,decretar
10375,nc,decreto-lei
10376,nc,decretos-lei
10377,nc,decreto
10378,adj,decretório
10379,nc,decúbito
10380,adj,décuplo
10381,a,decurso
10382,nc,dedada
10383,nc,dedaleira
10384,adj,dedáleo
10385,nc,dedálica
10386,adj,dedálico
10387,nc,dedal
10388,nc,dedão
10389,adj,dedicado
10390,v,dedicar
10391,nc,dedicatória
10392,v,dedilhar
10393,nc,dedo
10394,nc,dedução
10395,adj,deducente
10396,adj,deducional
10397,adj,dedutível
10398,adj,dedutivo
10399,v,deduzir
10400,nc,defecador
10401,v,defecar
10402,adj,defecatório
10403,nc,defeção
10404,nc,defetibilidade
10405,adj,defetível
10406,nc,defetividade
10407,adj,defetivo
10408,nc,defeito
10409,adj,defeituoso
10410,a,defendente
10411,v,defender
10412,nc,defensa
10413,v,defensar
10414,nc,defensiva
10415,adj,defensível
10416,a,defensivo
10417,a,defensor
10418,adj,defensório
10419,a,deferencial
10420,nc,deferência
10421,adj,deferente
10422,v,deferir
10423,nc,defesa
10424,a,defeso
10425,nc,défice
10426,nc,deficiência
10427,adj,deficiente
10428,adj,deficitário
10429,nc,deficit
10430,a,definhador
10431,v,definhar
10432,nc,definibilidade
10433,nc,definição
10434,v,definir
10435,adj,definitivo
10436,nc,definitório
10437,nc,deflação
10438,nc,deflacionismo
10439,nc,deflacionista
10440,nc,deflagrador
10441,adj,deflagrante
10442,v,deflagrar
10443,v,deflectir
10444,v,defletir
10445,a,deflector
10446,a,defletor
10447,nc,deflexão
10448,v,deflorar
10449,nc,defluência
10450,v,defluir
10451,nc,defluxão
10452,nc,defluxo
10453,nc,deformação
10454,a,deformador
10455,v,deformar
10456,adj,deformatório
10457,nc,deformidade
10458,a,defraudador
10459,v,defraudar
10460,adj,defrontante
10461,v,defrontar
10462,adv,defronte
10463,nc,defumadela
10464,a,defumador
10465,nc,defumadouro
10466,nc,defumadura
10467,v,defumar
10468,a,defunto
10469,v,degastar
10470,v,degelar
10471,nc,degelo
10472,v,degenerar
10473,adj,degenerativo
10474,nc,degenerescência
10475,adj,degenerescente
10476,v,deglutir
10477,nc,degoladoiro
10478,a,degolador
10479,nc,degoladouro
10480,nc,degoladura
10481,v,degolar
10482,nc,degradação
10483,a,degradador
10484,adj,degradante
10485,v,degradar
10486,nc,degrau
10487,a,degredado
10488,nc,degredo
10489,adj,degressivo
10490,v,degustar
10491,nc,deidade
10492,v,deificar
10493,adj,deiscente
10494,nc,deísmo
10495,nc,deitada
10496,nc,deitadura
10497,nc,deita
10498,v,deitar
10499,nc,deixa
10500,v,deixar
10501,nc,dejeção
10502,v,dejetar
10503,nc,dejeto
10504,nc,dejetório
10505,nc,delação
10506,a,delambido
10507,v,delapidar
10508,v,delatar
10509,a,delator
10510,adj,delatório
10511,cp,dele
10512,nc,delegacia
10513,nc,delegado
10514,a,delegante
10515,v,delegar
10516,nc,delegatário
10517,adj,delegatório
10518,adj,deleitante
10519,v,deleitar
10520,nc,deleite
10521,adj,deleitoso
10522,adj,delével
10523,adj,délfico
10524,nc,delfim
10525,nc,delfina
10526,nc,delfinídeos
10527,nc,delgadeza
10528,adj,delgado
10529,adv,deliberadamente
